"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","RANK1","WEI. DVOA","RANK2","SCHED","RANK3","RANK4","VAR","RANK5","Year"
"NO","100.8","1","109.7","1-0","27.7","5","-55.6","2","17.5","3","31.5","-58.7","19.5","0.9","2","100.8","1","0.0","1","30","0.0","1","2024"
"MIN","72.8","2","67.9","1-0","21.1","9","-50.2","4","1.5","14","17.0","-49.1","1.8","0.7","5","72.8","2","0.0","1","13","0.0","1","2024"
"DAL","72.4","3","76.8","1-0","-5.9","22","-53.6","3","24.8","1","-0.8","-51.6","26.0","0.8","4","72.4","3","0.0","1","27","0.0","1","2024"
"SEA","71.3","4","59.8","1-0","22.7","7","-56.2","1","-7.6","27","22.7","-44.0","-6.9","1.0","1","71.3","4","0.0","1","15","0.0","1","2024"
"SF","48.1","5","51.2","1-0","24.8","6","-13.3","8","9.9","6","23.8","-15.4","12.0","0.7","8","48.1","5","0.0","1","4","0.0","1","2024"
"TB","33.8","6","26.0","1-0","30.5","4","1.2","14","4.5","10","30.5","10.2","5.6","0.6","12","33.8","6","0.0","1","16","0.0","1","2024"
"LAC","28.4","7","29.6","1-0","-3.3","21","-32.9","5","-1.2","22","-3.3","-32.4","0.5","0.7","9","28.4","7","0.0","1","28","0.0","1","2024"
"NE","24.0","8","22.7","1-0","8.9","15","-8.5","11","6.5","8","14.0","-1.3","7.4","0.9","3","24.0","8","0.0","1","12","0.0","1","2024"
"HOU","21.0","9","1.8","1-0","22.2","8","-1.7","13","-2.9","24","22.2","19.1","-1.2","0.5","14","21.0","9","0.0","1","8","0.0","1","2024"
"BUF","19.3","10","19.7","1-0","33.0","2","4.0","16","-9.7","28","28.9","0.1","-9.2","0.6","10","19.3","10","0.0","1","10","0.0","1","2024"
"KC","18.5","11","6.5","1-0","33.4","1","14.3","21","-0.6","18","33.4","26.9","0.0","0.6","13","18.5","11","0.0","1","22","0.0","1","2024"
"DET","10.8","12","11.5","1-0","9.2","13","2.7","15","4.2","11","9.2","2.7","4.9","0.5","15","10.8","12","0.0","1","1","0.0","1","2024"
"PIT","3.1","13","8.4","1-0","-17.4","25","-9.8","10","10.7","5","-15.2","-9.8","13.8","0.6","11","3.1","13","0.0","1","31","0.0","1","2024"
"JAX","1.4","14","-0.7","0-1","13.3","12","12.2","20","0.3","17","9.3","12.2","2.1","0.4","22","1.4","14","0.0","1","19","0.0","1","2024"
"IND","0.9","15","1.1","0-1","20.4","10","25.8","28","6.3","9","20.4","25.8","6.5","0.5","16","0.9","15","0.0","1","21","0.0","1","2024"
"MIA","-0.2","16","5.5","1-0","9.0","14","18.1","23","9.0","7","9.0","14.3","10.8","0.7","7","-0.2","16","0.0","1","18","0.0","1","2024"
"GB","-1.0","17","5.4","0-1","20.4","11","16.4","22","-5.0","25","26.0","16.4","-4.2","0.4","20","-1.0","17","0.0","1","2","0.0","1","2024"
"CHI","-2.8","18","9.2","1-0","-36.3","28","-18.6","7","14.9","4","-29.3","-22.8","15.7","0.7","6","-2.8","18","0.0","1","6","0.0","1","2024"
"ATL","-3.2","19","-10.4","0-1","-14.6","24","-12.0","9","-0.6","19","-22.1","-12.0","-0.3","0.3","23","-3.2","19","0.0","1","9","0.0","1","2024"
"CIN","-7.6","20","-10.0","0-1","0.8","19","7.5","17","-0.9","20","2.7","12.3","-0.4","0.1","30","-7.6","20","0.0","1","32","0.0","1","2024"
"PHI","-9.3","21","-17.3","1-0","6.8","17","19.2","24","3.1","12","3.8","24.5","3.4","0.4","19","-9.3","21","0.0","1","26","0.0","1","2024"
"BAL","-11.3","22","-14.1","0-1","32.8","3","37.3","30","-6.8","26","29.5","37.3","-6.3","0.4","17","-11.3","22","0.0","1","29","0.0","1","2024"
"LAR","-11.7","23","-10.6","0-1","2.0","18","11.7","19","-2.1","23","2.0","11.7","-1.0","0.4","18","-11.7","23","0.0","1","3","0.0","1","2024"
"TEN","-25.2","24","-35.4","0-1","-25.2","27","-31.9","6","-31.9","32","-29.5","-25.4","-31.2","0.2","29","-25.2","24","0.0","1","11","0.0","1","2024"
"NYJ","-31.5","25","-32.3","0-1","-10.2","23","22.2","27","0.9","16","-12.5","21.2","1.5","0.4","21","-31.5","25","0.0","1","7","0.0","1","2024"
"LV","-33.6","26","-39.7","0-1","-22.6","26","9.7","18","-1.2","21","-30.4","9.7","0.4","0.3","25","-33.6","26","0.0","1","23","0.0","1","2024"
"ARI","-36.1","27","-35.8","0-1","8.5","16","45.9","32","1.3","15","4.2","41.8","1.8","0.2","26","-36.1","27","0.0","1","5","0.0","1","2024"
"DEN","-56.9","28","-54.7","0-1","-48.9","30","25.9","29","17.8","2","-47.8","25.9","19.0","0.0","32","-56.9","28","0.0","1","20","0.0","1","2024"
"WAS","-59.7","29","-46.1","0-1","-3.1","20","38.9","31","-17.6","31","8.9","38.9","-16.1","0.2","27","-59.7","29","0.0","1","25","0.0","1","2024"
"NYG","-64.8","30","-59.2","0-1","-47.3","29","19.3","25","1.8","13","-46.2","15.4","2.4","0.3","24","-64.8","30","0.0","1","14","0.0","1","2024"
"CLE","-67.1","31","-69.2","0-1","-58.6","32","-2.3","12","-10.8","29","-56.5","2.6","-10.1","0.2","28","-67.1","31","0.0","1","24","0.0","1","2024"
"CAR","-93.2","32","-99.2","0-1","-58.1","31","19.7","26","-15.5","30","-61.4","23.3","-14.5","0.1","31","-93.2","32","0.0","1","17","0.0","1","2024"
