"Year","Week","Rank","TEAM","TOT DVOA","NON-ADJ VOA","W-L","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","RANK1","WEI. DVOA","RANK2","SCHED","RANK3","RANK4","VAR","RANK5"
"2024","2","7","ARI","26.1","28.5","1-1","23.1","5","-0.4","15","2.6","13","22.1","-3.0","3.4","1.0","17","26.1","7","-0.9","17","17","69.8","31"
"2024","2","13","ATL","9.4","7.7","1-1","13.1","8","3.3","17","-0.4","21","11.0","3.3","0.0","1.2","10","9.4","13","3.3","14","10","1.7","8"
"2024","2","9","BAL","14.2","8.4","0-2","23.1","4","3.8","19","-5.1","28","21.2","8.4","-4.4","1.1","12","14.2","9","-17.1","27","23","9.6","23"
"2024","2","6","BUF","32.4","32.0","2-0","28.9","2","-11.4","8","-7.9","31","26.5","-12.6","-7.1","1.8","6","32.4","6","-2.3","18","20","2.6","9"
"2024","2","32","CAR","-80.5","-81.2","0-2","-61.7","32","14.9","24","-3.8","24","-63.7","15.0","-2.5","0.0","30","-80.5","32","69.0","1","24","3.1","10"
"2024","2","24","CHI","-23.4","-15.5","1-1","-48.6","31","-14.7","7","10.5","3","-45.8","-18.7","11.6","0.8","22","-23.4","24","10.7","11","7","7.5","18"
"2024","2","16","CIN","1.9","4.4","0-2","-1.7","21","-3.9","11","-0.3","20","1.0","-3.2","0.1","0.9","20","1.9","16","-0.8","16","32","1.4","7"
"2024","2","27","CLE","-33.3","-33.2","1-1","-31.9","29","-2.4","12","-3.9","25","-28.3","2.4","-2.5","0.4","27","-33.3","27","3.5","13","19","22.5","28"
"2024","2","14","DAL","8.7","12.9","1-1","-11.2","24","0.4","16","20.4","1","-6.7","2.5","22.1","1.2","9","8.7","14","28.9","4","29","86.6","32"
"2024","2","31","DEN","-43.3","-40.3","0-2","-34.2","30","20.0","27","10.9","2","-33.6","20.0","13.4","0.0","30","-43.3","31","33.7","2","14","4.4","13"
"2024","2","10","DET","13.8","10.5","1-1","3.8","18","-5.1","10","4.8","7","3.8","-1.1","5.6","1.3","8","13.8","10","-11.4","20","2","1.0","5"
"2024","2","11","GB","12.9","7.0","1-1","23.7","3","7.0","20","-3.8","23","24.6","14.7","-2.9","1.1","11","12.9","11","-11.9","22","3","4.8","14"
"2024","2","5","HOU","42.0","32.2","2-0","5.9","16","-28.7","4","7.3","5","4.3","-18.7","9.2","2.0","2","42.0","5","-18.1","28","12","3.6","11"
"2024","2","22","IND","-12.7","-5.6","0-2","8.9","10","23.5","30","1.9","15","14.3","22.1","2.3","0.9","19","-12.7","22","27.4","5","25","3.6","12"
"2024","2","19","JAX","-1.7","-2.0","0-2","8.2","11","3.3","18","-6.5","30","8.8","5.6","-5.1","0.9","21","-1.7","19","-32.0","30","9","0.6","3"
"2024","2","18","KC","-1.5","-10.1","2-0","7.7","12","9.7","22","0.6","17","5.9","17.0","1.0","1.0","15","-1.5","18","8.0","12","11","6.0","16"
"2024","2","3","LAC","46.8","45.9","2-0","5.8","17","-44.4","1","-3.4","22","3.6","-44.1","-1.8","1.9","5","46.8","3","-56.7","32","21","8.0","19"
"2024","2","28","LAR","-34.2","-35.2","0-2","-12.6","26","22.2","29","0.6","18","-13.5","23.1","1.4","0.5","25","-34.2","28","19.9","7","1","13.0","26"
"2024","2","26","LV","-32.8","-33.2","1-1","-19.7","28","15.8","25","2.7","12","-21.2","15.8","3.8","0.0","30","-32.8","26","30.5","3","27","0.0","1"
"2024","2","25","MIA","-30.7","-27.0","1-1","-14.6","27","21.2","28","5.1","6","-14.0","19.2","6.3","1.0","16","-30.7","25","15.3","9","15","13.8","27"
"2024","2","4","MIN","46.3","35.2","2-0","6.6","13","-35.6","2","4.1","8","7.2","-23.4","4.6","1.9","3","46.3","4","-14.2","24","8","12.2","24"
"2024","2","17","NE","-0.2","2.2","1-1","6.1","15","8.2","21","2.0","14","10.9","11.5","2.8","1.1","13","-0.2","17","25.9","6","18","9.3","22"
"2024","2","1","NO","91.2","95.0","2-0","47.7","1","-35.3","3","8.2","4","50.8","-34.8","9.4","2.0","1","91.2","1","-35.9","31","31","0.6","4"
