"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"CAR","-44.9","32","-40.5","2-7","32","-22.0","29","22.1","32","-0.8","18","-21.0","19.5","0.0","1.1","32","-43.0","32","-0.2","15","6.3","6","14.1","24","9","2024"
"NE","-39.7","31","-37.8","2-7","31","-23.0","31","18.4","30","1.7","9","-21.5","18.4","2.0","1.6","28","-42.7","31","-5.5","26","2.1","12","10.8","15","9","2024"
"CLE","-39.2","30","-38.5","2-7","30","-35.3","32","1.9","19","-2.0","24","-30.9","5.6","-2.0","1.2","31","-37.0","30","1.0","13","8.6","2","12.0","19","9","2024"
"MIA","-26.2","27","-22.4","2-6","29","-15.4","26","9.4","28","-1.4","22","-10.9","11.0","-0.5","2.3","27","-25.1","27","-5.2","24","-8.8","31","11.0","17","9","2024"
"LV","-30.0","29","-32.9","2-7","28","-22.6","30","7.7","27","0.3","16","-25.8","8.3","1.3","1.6","29","-31.2","29","1.5","10","2.4","11","7.1","7","9","2024"
"TEN","-29.6","28","-33.4","2-6","27","-21.2","28","-8.1","9","-16.6","32","-23.3","-5.4","-15.5","1.4","30","-30.2","28","-0.8","18","5.2","9","4.8","3","9","2024"
"DAL","-15.5","25","-17.6","3-5","26","-11.2","25","12.5","29","8.1","2","-10.3","16.4","9.1","3.3","25","-16.5","26","8.3","4","3.6","10","17.1","27","9","2024"
"NYG","-14.7","24","-21.2","2-7","25","-3.8","21","4.4","22","-6.4","31","-5.0","9.7","-6.5","2.8","26","-14.3","24","4.3","8","0.0","17","8.4","11","9","2024"
"NYJ","-7.7","22","-7.5","3-6","24","-2.3","18","0.9","17","-4.5","29","-3.5","-0.2","-4.3","3.7","21","-7.5","21","-1.2","19","-6.1","30","10.9","16","9","2024"
"JAX","-16.1","26","-14.7","2-7","23","1.4","15","21.7","31","4.2","5","0.9","20.4","4.9","3.3","24","-14.8","25","-6.5","28","-2.3","23","13.5","23","9","2024"
"NO","-5.9","21","-3.1","2-7","22","-4.6","22","5.0","23","3.7","6","-2.2","5.6","4.7","3.3","23","-12.0","23","-2.8","22","-4.0","25","23.3","32","9","2024"
"LAR","-2.8","19","-8.5","4-4","21","6.4","12","5.8","24","-3.4","28","1.7","7.3","-2.9","4.3","17","-1.7","18","9.4","3","-1.9","22","7.7","10","9","2024"
"IND","-5.2","20","-5.2","4-5","20","-2.8","19","3.5","20","1.1","12","-5.0","2.3","2.1","4.0","19","-5.9","20","-0.5","16","-4.3","27","4.3","2","9","2024"
"ARI","6.2","15","-1.9","5-4","19","7.3","11","1.8","18","0.7","15","5.0","8.4","1.5","5.2","12","5.4","16","10.6","2","-6.0","29","18.3","28","9","2024"
"CHI","-9.0","23","1.1","4-4","18","-16.9","27","-5.9","11","1.9","8","-10.6","-9.1","2.5","3.7","20","-7.9","22","-7.6","30","17.2","1","11.7","18","9","2024"
"CIN","3.8","17","5.8","4-5","17","11.0","10","6.0","25","-1.2","21","15.8","8.9","-1.2","5.1","16","4.9","17","-7.7","31","-0.6","21","8.9","14","9","2024"
"SEA","0.2","18","-3.1","4-5","16","-1.8","17","-0.4","15","1.6","11","0.1","5.0","1.8","3.6","22","-3.1","19","2.2","9","6.8","5","16.4","26","9","2024"
"TB","11.6","12","3.3","4-5","15","14.3","6","0.7","16","-2.1","25","14.1","9.7","-1.2","5.4","10","10.2","13","18.2","1","-15.4","32","14.5","25","9","2024"
"LAC","11.5","13","19.8","5-3","14","-0.8","16","-12.3","6","-0.1","17","0.0","-18.7","1.2","5.2","13","12.5","10","-8.3","32","-0.2","18","5.1","4","9","2024"
"ATL","9.1","14","5.5","6-3","13","14.4","5","3.8","21","-1.6","23","15.3","9.2","-0.6","5.6","9","8.5","15","1.3","11","-4.2","26","7.2","8","9","2024"
"PHI","13.3","9","11.1","6-2","12","6.3","13","-6.0","10","1.0","14","8.7","-1.4","0.9","5.4","11","15.6","8","-4.6","23","-0.6","20","12.2","20","9","2024"
"PIT","12.3","10","18.1","6-2","11","-3.2","20","-8.2","8","7.3","3","-0.7","-10.2","8.6","5.6","8","12.2","11","-5.8","27","7.4","3","12.7","22","9","2024"
"DEN","5.8","16","9.4","5-4","10","-11.0","24","-11.6","7","5.2","4","-10.7","-13.2","6.9","4.1","18","9.0","14","-1.7","20","1.0","15","22.2","31","9","2024"
"WAS","19.2","7","20.4","7-2","9","21.6","2","6.1","26","3.7","7","25.8","9.1","3.8","5.1","14","23.2","4","-7.0","29","-2.3","24","20.9","30","9","2024"
"GB","14.5","8","6.0","6-3","8","13.6","8","-3.5","13","-2.6","27","10.3","2.3","-2.1","6.3","6","14.1","9","5.5","7","5.4","8","4.0","1","9","2024"
"HOU","12.1","11","9.4","6-3","7","-5.6","23","-16.1","2","1.6","10","-5.1","-12.2","2.3","5.1","15","11.2","12","-2.4","21","-0.5","19","8.9","13","9","2024"
